Средняя зарплата
2015-01-15,15122
2015-02-15,20351
2015-03-15,20200
2015-04-15,21654
2015-05-15,24960
2015-06-15,27107
2015-07-15,27133
2015-08-15,24904
2015-09-15,24505
2015-10-15,26130
2015-11-15,26041
2015-12-15,40075
2016-01-15,20734
2016-02-15,26594
2016-03-15,27113
2016-04-15,30330
2016-05-15,27620
2016-06-15,31451
2016-07-15,29107
2016-08-15,28674
2016-09-15,27176
2016-10-15,27042
2016-11-15,28531
2016-12-15,42423
2017-01-15,21687
2017-02-15,28011
2017-03-15,27443
2017-04-15,29072
2017-05-15,28452
2017-06-15,31452
2017-07-15,28790
2017-08-15,28010
2017-09-15,27744
