Средняя сумма заявки на ипотечный кредит
2013-01-15,1482726
2013-02-15,1386785
2013-03-15,1436317
2013-04-15,1358782
2013-05-15,1402701
2013-06-15,1430081
2013-07-15,1399728
2013-08-15,1503659
2013-09-15,1474707
2013-10-15,1524118
2013-11-15,1515295
2013-12-15,1542199
2014-01-15,1561257
2014-02-15,1516361
2014-03-15,1523763
2014-04-15,1589747
2014-05-15,1587535
2014-06-15,1642366
2014-07-15,1547388
2014-08-15,1590086
2014-09-15,1589516
2014-10-15,1601973
2014-11-15,1552374
2014-12-15,1680599
2015-01-15,1573312
2015-02-15,1544193
2015-03-15,1535669
2015-04-15,1557492
2015-05-15,1617606
2015-06-15,1588701
2015-07-15,1575877
2015-08-15,1601539
2015-09-15,1597442
2015-10-15,1581769
2015-11-15,1620856
2015-12-15,1642387
2016-01-15,1624359
2016-02-15,1683102
2016-03-15,1566687
2016-04-15,1599725
2016-05-15,1623990
2016-06-15,1633619
2016-07-15,1617432
2016-08-15,1636179
2016-09-15,1642134
2016-10-15,1617863
2016-11-15,1690466
2016-12-15,1625501
2017-01-15,1695243
2017-02-15,1679162
2017-03-15,1716075
2017-04-15,1677019
2017-05-15,1701179
2017-06-15,1734144
2017-07-15,1752655
2017-08-15,1791922
2017-09-15,1794007
