Количество заявок на потребительские кредиты
2013-01-15,9339
2013-02-15,9073
2013-03-15,11225
2013-04-15,15747
2013-05-15,16012
2013-06-15,15110
2013-07-15,16694
2013-08-15,17115
2013-09-15,15930
2013-10-15,18043
2013-11-15,17731
2013-12-15,19306
2014-01-15,9560
2014-02-15,14646
2014-03-15,15110
2014-04-15,19135
2014-05-15,17710
2014-06-15,16931
2014-07-15,18763
2014-08-15,18895
2014-09-15,16877
2014-10-15,17696
2014-11-15,14894
2014-12-15,15047
2015-01-15,4062
2015-02-15,5349
2015-03-15,6059
2015-04-15,8828
2015-05-15,7787
2015-06-15,16796
2015-07-15,18026
2015-08-15,16110
2015-09-15,14654
2015-10-15,13598
2015-11-15,11913
2015-12-15,15909
2016-01-15,10013
2016-02-15,10728
2016-03-15,12281
2016-04-15,14971
2016-05-15,15195
2016-06-15,15895
2016-07-15,15514
2016-08-15,17371
2016-09-15,15058
2016-10-15,14162
2016-11-15,13577
2016-12-15,17036
2017-01-15,11914
2017-02-15,12132
2017-03-15,16090
2017-04-15,14855
2017-05-15,15698
2017-06-15,18179
2017-07-15,16928
2017-08-15,20944
2017-09-15,17140
