Средняя сумма нового депозита
2014-01-15,200094
2014-02-15,228282
2014-03-15,207387
2014-04-15,210508
2014-05-15,207597
2014-06-15,207051
2014-07-15,219425
2014-08-15,201426
2014-09-15,185969
2014-10-15,203622
2014-11-15,290091
2014-12-15,302172
2015-01-15,266695
2015-02-15,205174
2015-03-15,244556
2015-04-15,198107
2015-05-15,222260
2015-06-15,239151
2015-07-15,238667
2015-08-15,208027
2015-09-15,223253
2015-10-15,202733
2015-11-15,200784
2015-12-15,279540
2016-01-15,284888
2016-02-15,254250
2016-03-15,296437
2016-04-15,282346
2016-05-15,246303
2016-06-15,265022
2016-07-15,246128
2016-08-15,232167
2016-09-15,265473
2016-10-15,267146
2016-11-15,250033
2016-12-15,270671
2017-01-15,227429
2017-02-15,268064
2017-03-15,307410
2017-04-15,301157
2017-05-15,278960
2017-06-15,272542
2017-07-15,290812
2017-08-15,317998
2017-09-15,308661
